Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Lithco Plant Pond Dam,Storage Area Dam #2 (Gasto-013),,NC02644,,NC02644,Livent USA Corporation,Private,Private,0,No,,,Other,Other,North Carolina,GASTO-081,35.2625,-81.2992,North Carolina,Gaston,,,Abernathy Creek,"North Carolina, Congressional District 10",,Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,65,75,75,51-100 feet,820,,,Undetermined,1999,936,936,780,17,1.28,,,,,,,,,,1/27/2025,11/3/2020,,Significant,Satisfactory,11/3/2020,,,Yes,12/1/2023,No,https://damsafety.org/north-carolina
Barrick Mercur Gold Mines 87r89,,,UT20816,,UT20816,BARRICK RESOURCES (USA)  INC.,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction,Utah,UT20816,40.32258311,-112.2119885,Utah,Tooele,,0,,"Utah, Congressional District 02",,Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,25,25,25-50 feet,510,,,Undetermined,,90,,90,,0,,,,,,,,,,3/28/2024,,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/utah
Brights Dam,Cedar Lake,,VA800007,,VA800007,Maico USA Inc;Richard B. Winters,Private,Private,0,No,USDA NRCS,,Recreation,Recreation;Flood Risk Reduction,Virginia,800007,36.7745,-76.5404,Virginia,Suffolk,Suffolk,4,Unnamed tributary (direct) to Nansemond River - VAHU6 JL48 Nansemond River - Cedar Lake,"Virginia, Congressional District 02",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,14,,,14,Less than 25 feet,,,,Undetermined,,148,148,76,,1.32,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,3/26/2022,No,,No,https://damsafety.org/virginia
Hsbc Bank Dam,061dd295,,VA061087,,VA061087,HSBC BANK USA NA TRUSTEE,Private,Private,0,No,,,,,Virginia,61087,38.5566,-77.594,Virginia,Fauquier,,,,"Virginia, Congressional District 10",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,31,,,31,25-50 feet,,,,Undetermined,,27.78,27.78,20.8,2,0.02,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,1/5/2021,No,,No,https://damsafety.org/virginia
White Oak Farms Dam,,,NC03254,,NC03254,"Forestar (USA) Real Estate Group, Inc.",Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,JOHNS-089,35.6403,-78.504,North Carolina,Johnston,,,White Oak Creek,"North Carolina, Congressional District 13",,Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,26,26,25-50 feet,600,,,Undetermined,,73,73,0,6,0.13,,,,,,,,,,1/27/2025,1/19/2023,,Low,Poor,1/19/2023,,,No,,No,https://damsafety.org/north-carolina
Spray Dam,,,VA041033,,VA041033,"Dupont Specialty Products USA, LLC",Private,Private,0,No,,,Recreation,Recreation,Virginia,41033,37.4497,-77.43,Virginia,Chesterfield,,,TR-JAMES RIVER,"Virginia, Congressional District 04",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,,104,104,88,,1.24,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Applicable,3/8/2021,No,,No,https://damsafety.org/virginia
Spruance Polishing Dam,(Industrial Wastewater Pond),,VA041032,,VA041032,"DuPont Specialty Products USA, LLC",Private,Private,0,No,"Resource International, Ltd.",,Other,Other,Virginia,41032,37.445,-77.4278,Virginia,Chesterfield,,0.1,TR-JAMES RIVER,"Virginia, Congressional District 04",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,28,,,28,25-50 feet,2060,,,Undetermined,,171.5,171.5,143.6,35.2,0.25,,,,,,,,,,12/4/2022,5/5/2022,6,Low,Fair,5/5/2022,"Under Investigation, Planning, Permitting, or Design for Remediation",3/9/2021,Yes,4/30/2013,No,https://damsafety.org/virginia
Heart Lake Or Deep Lake,None,None,OR01521,,OR01521,GLIBERT LAPHAM - USA,Private,Private,0,No,,Yes,Other,Other,Oregon,H-60,42.2548294,-120.8420334,Oregon,Lake,LAPHAM RANCH,2,FISHHOLE CREEK WATERSHED,"Oregon, Congressional District 02",,Yes,Yes,OWRD,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,10,8,12,12,Less than 25 feet,100,100,1898,Before 1900,,185,185,185,15.8,0.59,40,,0,0,0,0,,,Needle,4/7/2021,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oregon
Fitzgerald Reservoir,None,None,OR00171,,OR00171,USA,Private,Private,0,No,,Yes,Irrigation,Irrigation,Oregon,F-41,42.48805999,-120.1316681,Oregon,Lake,PLUSH,14,"COLVIN CREEK, NORTH FORK","Oregon, Congressional District 02",,Yes,Yes,OWRD,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,25,23,28,28,25-50 feet,550,100,1941,1940-1949,,140,140,104,37.1,4.39,42,,0,0,0,0,,,,4/7/2021,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oregon
F-2 Dam Detention Basin,,,NV10771,,NV10771,CLARK COUNTY PUBLIC WORKS,Local Government,Local Government,0,No,USA CORPS OF ENGINEERS,Yes,Flood Risk Reduction,Flood Risk Reduction,Nevada,J-644,36.08049,-115.32868,Nevada,Clark,LAS VEGAS,0,FLAMINGO WASH-TR,"Nevada, Congressional District 03",,Yes,Yes,NEVADA DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Concrete,Soil,23,23,27,27,25-50 feet,548,72530,2004,Since 2000,,22.5,22.5,0,2.5,1.3,11600,Uncontrolled,430,,,,,,Uncontrolled1,5/2/2024,2/25/2022,1,High,Fair,2/25/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
F-4 Detention Basin Dam,,,NV10625,,NV10625,CLARK COUNTY PUBLIC WORKS,Local Government,Local Government,0,No,USA CORPS OF ENGINEERS,Yes,Flood Risk Reduction,Flood Risk Reduction,Nevada,J-567,36.04478,-115.29978,Nevada,Clark,LAS VEGAS,0,TROPICANA WASH-TR,"Nevada, Congressional District 03",,Yes,Yes,NEVADA DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Concrete,Soil,55,31,26,55,51-100 feet,1572,59525,2005,Since 2000,,21,21,0,4,5.5,10071,Uncontrolled,59,,,,,,Uncontrolled1,5/2/2024,4/11/2022,1,High,Fair,4/11/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 2,Refuse Area 2 Dam,Monterey/Mine 2/Refuse Disposal Area 2 Dam,IL50191,,IL50191,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Private,0,No,SVERDRUP & PARCEL/PATRICK ENGINEERI,No,Other,Other,Illinois,,38.53941,-89.58751,Illinois,Clinton,ALBERS,0.1,GRASSY BRANCH CREEK,"Illinois, Congressional District 12",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,56,,,56,51-100 feet,9010,0,1990,1990-1999,,1536,1536,0,115,0.44,16,Uncontrolled,1,0,0,0,,,None,5/12/2021,7/14/2020,1,High,Not Available,,,,Yes,12/1/2016,No,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Refuse Disposal Area 1,,Monterey Coal/Mine 2/Refuse Disposal Area 1,IL50505,,IL50505,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Private,0,No,PATRICK ENGINEERING,No,Tailings,Tailings,Illinois,,38.53441,-89.58751,Illinois,Clinton,ALBERS,0.1,GRASSY BRANCH CREEK,"Illinois, Congressional District 12",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Other,Other,Unlisted/Unknown,Soil,47,,,47,25-50 feet,10900,0,,Undetermined,,7850,7850,0,167,0.26,719,Uncontrolled,10,0,0,0,,,None,5/12/2021,7/14/2020,1,High,Not Available,,,,Yes,12/1/2016,No,https://damsafety.org/illinois
Red Rock Detention Dam,,,NV10406,,NV10406,CLARK COUNTY PUBLIC WORKS,Local Government,Local Government,0,No,USA CORPS OF ENGINEERS,No,Flood Risk Reduction,Flood Risk Reduction,Nevada,J-256,36.15305,-115.35468,Nevada,Clark,LAS VEGAS,0,RED ROCK WASH,"Nevada, Congressional District 03",,Yes,Yes,NEVADA DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Rock,63,54,66,66,51-100 feet,4090,100000,1987,1980-1989,1996H;1996S,2007,2007,0,76,55.2,110000,Uncontrolled,923,,,,,,Uncontrolled1,5/2/2024,2/24/2022,1,High,Fair,2/24/2022,,,Yes,9/1/2023,No,https://damsafety.org/nevada
West Caddo Creek Ponds 1 and 2 Levee,,,TX06510,,TX06510,CITY OF CADDO MILLS,Local Government,Local Government,0,No,DOD USA,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",Texas,TX06510,33.063882,-96.233462,Texas,Hunt,GREENVILLE,10,OFF CH-WEST CADDO CREEK,"Texas, Congressional District 03",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,12,12,12,12,Less than 25 feet,0,0,1943,1940-1949,,85,85,0,6.2,0,,None,,,,,,,None1,9/10/2024,8/22/1978,,Low,Not Rated,6/18/2014,Not Applicable,5/21/2022,Not Required,,No,https://damsafety.org/texas
Eagle Mountain Dam,,,TX00779,,TX00779,TARRANT REGIONAL WATER DISTRICT,State,State,0,No,"FREESE AND NICHOLS, INC.;FREESEAND NICHOLS, INC;HAWLEY AND  FREESE AND NICHOLS;WSP USA, INC.",No,Irrigation,Irrigation;Water Supply,Texas,TX00779,32.8739,-97.461036,Texas,Tarrant,FORT WORTH,1,WEST FORK TRINITY RIVER,"Texas, Congressional District 12",,Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,85,85,85,85,51-100 feet,7900,0,1932,1930-1939,1962O;1971H;2014F,677127,677127,185087,9246,1970,125100,,1500,,,,,,Other Controlled2;Uncontrolled1;Valve12,9/10/2024,9/25/2019,5,High,Satisfactory,5/29/2020,Normal Operations,5/21/2022,Yes,2/23/2023,No,https://damsafety.org/texas
Lake Afton Dam,Lake Afton Dam,,KS02553,,KS02553,SEDGWICK COUNTY,Local Government,Local Government,0,No,USA WPA,No,Recreation,Recreation,Kansas,DSG-0048,37.60644723,-97.63157683,Kansas,Sedgwick,OXFORD,37,CLEARWATER CREEK-TR,"Kansas, Congressional District 04",,Yes,Yes,KS Dept. of Agriculture,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,47,41,55,55,51-100 feet,4037,421000,1942,1940-1949,,6146,6146,2976,238,10.28,36057,Uncontrolled,400,0,0,0,,,None,5/2/2024,9/24/2020,,High,Satisfactory,11/2/2020,,,Yes,4/16/1982,No,https://damsafety.org/kansas
Josephine,Josephine,Lake Josephine,ME00345,,ME00345,"McCain Foods USA, Inc.",Private,Private,0,No,,No,Hydroelectric,Hydroelectric;Irrigation;Debris Control,Maine,134,46.67027778,-67.90111111,Maine,Aroostook,Easton,,TR Prestile stream,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,Earth;Unlisted/Unknown,,31,26,31,31,25-50 feet,3100,,1967,1960-1969,1998,2800,2800,1300,220,5.6,,,0,,,,,,,9/24/2024,5/11/2022,6,High,Unsatisfactory,5/11/2022,,,Yes,2/22/2024,No,https://damsafety.org/maine
Browns Mill,Browns Mill,Lower,ME00156,,ME00156,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,"Hydroelectric;Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond",Maine,676,45.183577,-69.21912,Maine,Piscataquis,,,Piscataquis River,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Buttress;Masonry,,,24,22,24,24,Less than 25 feet,265,,1856,Before 1900,1974,78,78,60,4,352,,,12,,,,,,,4/2/2021,,12,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/maine
Wilson Stream,Wilson Stream,Penstock,ME00604,,ME00604,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Maine,43,45.452075,-69.532694,Maine,Piscataquis,,,Big Wilson Stream,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete,,,36,30,36,36,25-50 feet,150,,1920,1920-1929,,20070,20070,15053,7,0,,,,,,,,,,4/2/2021,10/21/2019,12,Low,Poor,10/21/2019,,,Not Required,,No,https://damsafety.org/maine
Easton Intake,Easton Intake,,ME00477,,ME00477,"McCain Foods USA, Inc.",Private,Private,0,No,,No,Hydroelectric,Hydroelectric;Water Supply,Maine,133,46.662841,-67.897494,Maine,Aroostook,,,Prestile Stream,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete,,,8,8,8,8,Less than 25 feet,40,,1961,1960-1969,,65,65,32,4,0,,,6,,,,,,,4/2/2021,11/14/2001,12,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/maine
Signal Mountain Cement Dam,Signal Mountain Cement,,TN06508,,TN06508,Buzzi Unicem Usa,Private,Private,0,No,,No,Water Supply,Water Supply,Tennessee,337009,35.097778,-85.347778,Tennessee,Hamilton,,0,,"Tennessee, Congressional District 03",,No,,TENN SAFE DAMS PRG,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,17,17,Less than 25 feet,160,,1977,1970-1979,,62,62,25,5.7,0.53,0,Uncontrolled,0,,,,,,None,10/24/2024,7/18/2023,3,Low,Satisfactory,7/18/2023,,,Not Required,,No,https://damsafety.org/tennessee
Estes Lake,Estes Lake,New Dam,ME00183,,ME00183,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Maine,402,43.42242,-70.664997,Maine,York,,,Mousam,"Maine, Congressional District 01",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Stone;Gravity,Earth;Unlisted/Unknown,,45,38,45,45,25-50 feet,705,,1910,1910-1919,,5800,5800,5350,473,99,,,300,,,,,,,6/17/2024,11/9/2023,6,High,Fair,11/9/2023,,,Yes,5/10/2023,No,https://damsafety.org/maine
Old Falls,Old Falls,,ME00182,,ME00182,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric;Other,Maine,2,43.4175,-70.63583333,Maine,York,,,Mousam,"Maine, Congressional District 01",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Stone,Stone;Concrete,,,36,31,36,36,25-50 feet,263,,1890,Before 1900,1990,590,590,525,85,100,,,200,,,,,,,9/24/2024,11/9/2023,6,Significant,Poor,11/9/2023,,,Yes,5/10/2023,No,https://damsafety.org/maine
Wilson Pond,Wilson Pond,Lower Wilson Pond,ME00164,,ME00164,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Maine,42,45.457069,-69.530143,Maine,Piscataquis,,,Big Wilson Stream,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Earth,,,12,10,12,12,Less than 25 feet,175,,1907,1900-1909,,12544,12544,9408,2320,50,,,,,,,,,,10/6/2023,10/21/2019,6,Significant,Poor,10/21/2019,,,Yes,5/10/2023,No,https://damsafety.org/maine
South Berwick,South Berwick,Leigh's Mill Pond,ME00062,,ME00062,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Maine,369,43.21846,-70.810772,Maine,York,,,Great Works,"Maine, Congressional District 01",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Masonry;Gravity,,,38,30,38,38,25-50 feet,500,,1923,1920-1929,,960,960,900,37,86,,,194,,,,,,,4/2/2021,12/16/2005,12,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/maine
Pennessewassee Stream,Pennessewassee Stream,Steep Falls,ME00748,,ME00748,KEI (USA) Power Management Inc.,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Maine,649,44.20611111,-70.53166667,Maine,Oxford,,,Pennesseewassee,"Maine, Congressional District 02",,Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,19,10,19,19,Less than 25 feet,35,,1935,1930-1939,1990,5688,5688,5200,6,24,,,,,,,,,,4/2/2021,10/18/2017,12,Low,Satisfactory,,,,Not Required,,No,https://damsafety.org/maine
